model,arena_elo,coding,reasoning,math,creativity,instruction_following,provider
Claude Opus 4.5,1320,92,95,91,96,94,Anthropic
GPT-4.5,1305,90,92,89,88,91,OpenAI
Gemini 2.5 Pro,1298,91,90,93,85,89,Google
Claude Sonnet 4.5,1285,89,88,86,90,90,Anthropic
DeepSeek R1,1275,87,93,95,78,84,DeepSeek
GPT-4o,1260,85,84,82,86,88,OpenAI
Llama 4 Maverick,1248,83,81,80,82,83,Meta
Gemini 2.0 Flash,1235,80,78,79,81,85,Google
Claude Haiku 4.5,1220,78,76,74,83,82,Anthropic
Mistral Large,1210,77,75,73,79,80,Mistral
Grok 3,1245,84,82,81,84,86,xAI
Command R+,1195,72,70,68,76,78,Cohere
